porto_origem,porto_destino,modal_logistico,volume_carga_ton,tipo_produto,tipo_embalagem,container_type,container_size,preco_combustivel_indice,taxas_impostos_percent,cambio_brl_eur_estimado,prazo_entrega_dias,custo_total_logistico_brl,ano,mes,dia_do_ano,dia_da_semana,semana_do_ano
Paranaguá,Valencia,marítimo,20.574994419235182,polpa de caju,containerizado,Reefer,40ft,1.302422293044807,8.793636147112512,5.22148497953645,49,99208.75153950212,2024,5,131,4,19
Santos,Valencia,marítimo,38.602689674046424,polpa de goiaba,containerizado,Reefer,40ft,1.53111407753668,23.93331090156925,5.891972999633742,21,175366.89577764456,2024,11,315,6,45
Buenaventura,Antwerp,marítimo,43.111516979790814,polpa de maracujá,containerizado,Dry,20ft,1.2225674368022144,18.84523808023932,5.358112315238515,45,171268.7203139728,2022,5,122,0,18
Buenaventura,Hamburg,aéreo,21.93748233987249,polpa de caju,containerizado,Reefer,40ft,1.2352260016316676,13.176863310664679,6.247626297122264,49,124608.07925596321,2023,4,102,2,15
Suape,Valencia,marítimo,18.34793878252632,polpa de caju,containerizado,Reefer,40ft,1.065627550010133,19.792618643218827,5.426836920106418,38,88744.30791965235,2022,11,331,6,47
Suape,Antwerp,marítimo,45.02510412582547,polpa de acerola,containerizado,Reefer,20ft,2.285087791531679,23.002819314130935,5.316304399189491,11,206615.41011911616,2022,3,88,1,13
Salaverry,Hamburg,marítimo,49.971421948670546,polpa de caju,containerizado,Reefer,20ft,1.3296379360911137,8.6028310759795,5.085127042909152,38,197251.60616909416,2024,5,142,1,21
Buenaventura,Antwerp,marítimo,35.165913784780955,polpa de acerola,containerizado,Reefer,40ft,2.2328536585919307,8.919685227553222,6.109860035032616,39,149133.42777349148,2022,5,131,2,19
Santa Marta,Antwerp,aéreo,49.54912767451314,polpa de goiaba,containerizado,Reefer,40ft,1.657464079205858,13.174415244553208,5.762312262556334,45,222594.86304682947,2024,2,40,4,6
Santa Marta,Valencia,aéreo,34.69848250108595,polpa de goiaba,containerizado,Reefer,20ft,1.9486567220704138,8.384235426701414,5.170674496070724,53,157120.1739939206,2022,12,344,5,49
Cartagena,Hamburg,marítimo,38.005712240352125,polpa de goiaba,containerizado,Reefer,40ft,1.1135532042372929,12.207949714116316,5.332002173926267,34,148740.72238228456,2024,3,76,5,11
Cartagena,Valencia,aéreo,22.489520069458113,polpa de acerola,containerizado,Reefer,20ft,1.875370748170277,17.91383054125028,6.498078608089764,30,127088.91391042047,2023,1,21,5,3
Callao,Rotterdam,marítimo,24.483539614957408,polpa de goiaba,containerizado,Dry,40ft,1.4349931047599527,21.256362506677096,6.209043090175369,31,120899.86889723579,2024,8,226,1,33
Buenaventura,Rotterdam,marítimo,11.486104879522781,polpa de manga,containerizado,Reefer,40ft,1.1428149297267935,11.03869875370799,5.524804228651384,19,59110.768659517,2022,10,277,1,40
Santos,Hamburg,multimodal,42.023750664430544,polpa de caju,containerizado,Reefer,20ft,2.3623487442517535,10.63461367609676,5.813832245923016,40,183839.25091395172,2023,4,95,2,14
Santos,Antwerp,marítimo,46.897656389924,polpa de acerola,containerizado,Reefer,40ft,1.9054420635242364,20.59485928778355,5.624025738350889,56,184984.182853587,2022,1,22,5,3
Chancay,Valencia,marítimo,33.05471601623504,polpa de goiaba,containerizado,Reefer,20ft,1.3625614408660285,12.620524520050182,5.054584348101285,18,142078.96511872328,2022,9,253,5,36
Paranaguá,Valencia,marítimo,20.46412888004293,polpa de manga,containerizado,Reefer,40ft,1.6294720160836105,21.36950735737683,6.168015513819359,50,107566.46851343017,2024,1,18,3,3
Paita,Hamburg,multimodal,11.930734641846481,polpa de caju,containerizado,Reefer,40ft,1.5353502011195581,24.867606406584265,6.075479169834841,48,88680.61915574629,2024,5,127,0,19
Cartagena,Hamburg,marítimo,16.932030336739174,polpa de caju,containerizado,Reefer,20ft,2.050869498786732,24.59337351967434,5.613203471743817,43,93762.0859193588,2023,4,110,3,16
Suape,Rotterdam,aéreo,16.493468938332946,polpa de goiaba,containerizado,Reefer,40ft,1.911149764041241,18.25373909694578,6.268845705320941,48,113813.56550699419,2024,12,353,2,51
Callao,Le Havre,marítimo,32.60875478736079,polpa de manga,granel,Reefer,40ft,1.02967326409283,12.504264227549012,5.802108642333822,50,141450.3690458874,2023,5,146,4,21
Santa Marta,Hamburg,marítimo,47.5266859413622,polpa de acerola,containerizado,Reefer,40ft,1.2967404844070103,6.309797189535253,5.0978126591177055,59,172802.5804289658,2023,12,335,4,48
Paita,Le Havre,aéreo,7.172234913109166,polpa de goiaba,containerizado,Reefer,20ft,1.7171919583612922,19.760812654341215,5.389109435370322,32,79059.42312427219,2024,9,246,0,36
Pecém,Hamburg,marítimo,5.04600348175016,polpa de caju,containerizado,Reefer,40ft,1.6682286883806858,24.55934482106488,5.692659254128769,21,49002.56887736318,2022,7,190,5,27
Callao,Antwerp,aéreo,32.00818749414465,polpa de caju,containerizado,Reefer,40ft,1.7750123229152956,6.359689264312562,5.155173858066195,16,167654.35330978836,2024,8,228,3,33
Pecém,Antwerp,marítimo,17.78272079358719,polpa de caju,containerizado,Dry,20ft,2.072216249959472,5.123354212412803,5.8566217892943575,41,87428.73954722802,2023,11,322,5,46
Buenaventura,Rotterdam,marítimo,44.624675405253065,polpa de goiaba,containerizado,Reefer,20ft,2.023013497747341,21.63552393163435,5.180852242525102,28,201845.88493716155,2024,8,228,3,33
